source,title,published,url,text_path,status
PBS_NewsHour,,,,,no_relevant_article_found
NPR,"In the Ukraine war, new ground-based drones are playing a key role on the battlefield","Wed, 10 Jun 2026 16:59:08 -0400",https://www.npr.org/2026/06/10/nx-s1-5818116/in-the-ukraine-war-new-ground-based-drones-are-playing-a-key-role-on-the-battlefield,rss_a_plus_corpus/texts/NPR_In_the_Ukraine_war_new_ground_based_drones_are_playing_a_key_role_on_the_battlefield.txt,saved
Democracy_Now,"Headlines for June  2, 2026","Tue, 02 Jun 2026 08:00:00 -0400",http://www.democracynow.org/2026/6/2/headlines,rss_a_plus_corpus/texts/Democracy_Now_Headlines_for_June_2_2026.txt,saved
Deutsche_Welle,War in Ukraine: Kyiv strikes key Russian supply lines,"Wed, 10 Jun 2026 08:32:00 GMT",https://www.dw.com/en/war-in-ukraine-kyiv-strikes-key-russian-supply-lines/a-77480640?maca=en-rss-en-all-1573-xml-mrss,rss_a_plus_corpus/texts/Deutsche_Welle_War_in_Ukraine_Kyiv_strikes_key_Russian_supply_lines.txt,saved
France24,,,,,no_valid_article_text_found
ProPublica,,,,,no_relevant_article_found
