source,title,hedging_deviation,emotion_deviation,discourse_emphasis_deviation,content_similarity_to_consensus,content_deviation,content_deviation_from_average,semantic_similarity_to_consensus,semantic_deviation,semantic_deviation_from_average,omission_score,russia_agency_rate,ukraine_agency_rate,russia_agency_deviation,ukraine_agency_deviation,agency_balance,agency_balance_deviation,conflict_language_rate,defense_language_rate,diplomacy_aid_rate,conflict_language_deviation,defense_language_deviation,diplomacy_aid_deviation,conflict_vs_diplomacy_balance,conflict_diplomacy_deviation,framing_index_consensus_adjusted
NPR,"In the Ukraine war, new ground-based drones are playing a key role on the battlefield",0.820310071315787,0.42705095772142027,0.3927875782650851,0.5806355834928805,0.41936441650711953,0.07049860974447766,0.7726206,0.22737938,0.32441896,0.6,0.007662835249042145,0.02528735632183908,0.07642565962812521,0.4526785203032219,0.017624521072796936,0.6162667205967421,0.03371647509578544,0.0007662835249042146,0.0007662835249042146,0.5301044267081882,0.653591738074647,0.6543739219332043,0.03295019157088122,0.5864626737873856,0.4773053723138527
Democracy_Now,"Headlines for June  2, 2026",0.853921137112834,0.25092780679405263,0.030170914632075684,0.540816991145998,0.459183008854002,0.017447592324901316,0.7120985,0.28790152,0.14459786,0.9,0.0018034265103697023,0.0031559963931469793,0.7451778927633651,0.7719707401581318,0.001352569882777277,0.800007861918043,0.009467989179440937,0.001352569882777277,0.005410279531109108,0.4023949835659769,0.38855349619578133,0.5902081840043042,0.00405770964833183,0.7022112352283192,0.5075069002221786
Deutsche_Welle,War in Ukraine: Kyiv strikes key Russian supply lines,0.7099291151240562,0.08034072575066786,0.2435819932750212,0.6042462500830825,0.3957537499169175,0.1228305352884749,0.76179826,0.23820174,0.29226398,0.75,0.018842530282637954,0.026917900403768506,0.6244029912992322,0.485832361659567,0.008075370121130552,0.16250089250034835,0.020188425302826378,0.006729475100942127,0.0026917900403768506,0.21523238405844658,0.6712845959046326,0.17635170617276272,0.017496635262449527,0.22121402681009042,0.3658281009633443
France24,"War in Ukraine passes 1,569 days, now longer than WWI",0.7045057253817679,1.0,1.0,0.46961569162605593,0.5303843083739441,0.14935007731243008,0.40720814,0.59279186,0.43223137,0.45,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8258528591791205
